                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
                            L1-M4  1.99E-04  5.740E-04  1.83E-20
                            L1-M5  2.04E-07  6.142E-04  2.01E-23
                            L1-N2  2.99E-07  6.143E-04  2.94E-23
                            L2-N1  2.61E-11  7.340E-06  3.07E-29
                            L2-N3  1.24E-03  4.555E-04  9.07E-20
                            L2-N4  1.70E-06  4.821E-04  1.32E-22
                            L2-N6  1.48E-04  5.223E-04  1.24E-20
                            L2-O1  2.30E-05  5.252E-04  1.93E-21
                            L3-N5  2.31E-03  4.481E-04  1.66E-19
                            L3-N6  1.59E-06  4.739E-04  1.21E-22
                            L3-N7  1.56E-06  4.747E-04  1.19E-22
                            L3-O1  2.19E-05  5.149E-04  1.81E-21
                            L3-O2  2.55E-04  5.150E-04  2.10E-20
                            L3-O3  4.27E-05  5.179E-04  3.54E-21
                            M3-M5  3.24E-06  2.947E-05  1.53E-23
                            M3-N5  6.88E+00  9.238E-06  1.02E-17
                                                  Total 1.83E-16
Cr-51   27.7025 d EC        K -L2  6.53E-02  4.908E-03  5.13E-17
                            K -L3  1.28E-01  4.915E-03  1.01E-16
                            K -M2  7.56E-03  5.389E-03  6.52E-18
                            K -M3  1.49E-02  5.390E-03  1.29E-17
                            K -M4  1.13E-06  5.430E-03  9.80E-22
                            K -M5  1.65E-06  5.430E-03  1.44E-21
                            L1-L3  1.85E-05  9.191E-05  2.72E-22
                            L1-M2  6.20E-05  9.925E-05  9.86E-22
                            L1-M3  1.36E-04  5.731E-04  1.25E-20
                            L1-M4  1.99E-04  5.740E-04  1.83E-20
                            L1-M5  2.03E-07  6.142E-04  2.00E-23
                            L1-N2  2.97E-07  6.143E-04  2.93E-23
                            L2-N1  2.60E-11  7.340E-06  3.05E-29
                            L2-N3  1.24E-03  4.555E-04  9.02E-20
                            L2-N4  1.70E-06  4.821E-04  1.31E-22
                            L2-N6  1.47E-04  5.223E-04  1.23E-20
                            L2-O1  2.28E-05  5.252E-04  1.92E-21
                            L3-N5  2.29E-03  4.481E-04  1.65E-19
                            L3-N6  1.59E-06  4.739E-04  1.20E-22
                            L3-N7  1.55E-06  4.747E-04  1.18E-22
                            L3-O1  2.18E-05  5.149E-04  1.80E-21
                            L3-O2  2.53E-04  5.150E-04  2.09E-20
                            L3-O3  4.24E-05  5.179E-04  3.52E-21
                            M3-M5  3.23E-06  2.947E-05  1.52E-23
                            M3-N5  6.85E+00  9.238E-06  1.01E-17
                                                  Total 1.82E-16
Mn-51   46.2 m EC B-        K -L2  2.14E-03  5.368E-03  1.84E-18
                            K -L3  4.20E-03  5.377E-03  3.62E-18
                            K -M2  2.46E-04  5.906E-03  2.33E-19
                            K -M3  4.85E-04  5.907E-03  4.59E-19
                            K -M4  6.55E-08  5.951E-03  6.24E-23
                            K -M5  9.58E-08  5.951E-03  9.14E-23
                            L1-L3  4.25E-07  9.760E-05  6.64E-24
                            L1-M2  1.50E-06  1.065E-04  2.57E-23
                            L1-M3  4.39E-06  6.361E-04  4.48E-22
                            L1-M4  6.42E-06  6.371E-04  6.55E-22
                            L1-M5  9.14E-09  6.809E-04  9.97E-25
                            L1-N2  1.30E-08  6.810E-04  1.42E-24
                            L2-N1  1.23E-12  8.930E-06  1.76E-30
                            L2-N3  4.30E-05  5.105E-04  3.52E-21
