                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
                            L1-M3  9.84E-04  2.871E-03  4.53E-19
                            L1-M4  1.66E-03  2.897E-03  7.71E-19
                            L1-M5  9.89E-06  3.068E-03  4.86E-21
                            L1-N2  1.47E-05  3.073E-03  7.26E-21
                            L1-N3  1.68E-04  3.332E-03  8.99E-20
                            L1-N4  2.87E-04  3.336E-03  1.53E-19
                            L1-N5  5.83E-07  3.381E-03  3.16E-22
                            L1-O2  8.69E-07  3.381E-03  4.71E-22
                            L2-N1  5.42E-09  1.470E-04  1.28E-25
                            L2-N3  1.77E-03  2.536E-03  7.18E-19
                            L2-N4  1.97E-05  2.657E-03  8.38E-21
                            L2-N6  2.18E-02  2.828E-03  9.89E-18
                            L2-O1  1.69E-04  3.063E-03  8.27E-20
                            L2-O3  1.10E-06  3.097E-03  5.44E-22
                            L2-O4  1.49E-03  3.141E-03  7.49E-19
                            L3-N5  6.88E-03  2.389E-03  2.63E-18
                            L3-N6  3.14E-05  2.484E-03  1.25E-20
                            L3-N7  2.97E-05  2.510E-03  1.19E-20
                            L3-O1  5.22E-03  2.681E-03  2.24E-18
                            L3-O2  4.64E-02  2.687E-03  2.00E-17
                            L3-O3  4.06E-04  2.916E-03  1.90E-19
                            L3-O4  1.33E-06  2.946E-03  6.25E-22
                            L3-O5  1.26E-06  2.950E-03  5.97E-22
                            L3-O6  3.51E-04  2.994E-03  1.68E-19
                            L3-O7  3.10E-03  2.995E-03  1.49E-18
                            M3-M5  2.46E-03  3.066E-04  1.21E-19
                            M3-N1  4.46E-05  3.993E-05  2.86E-22
                            M3-N5  1.56E+01  9.958E-06  2.49E-17
                                                  Total 4.21E-15
Pd-103  16.991 d EC         K -L2  2.00E-01  2.004E-02  6.42E-16
                            K -L3  3.79E-01  2.019E-02  1.22E-15
                            K -M2  3.22E-02  2.267E-02  1.17E-16
                            K -M3  6.26E-02  2.270E-02  2.28E-16
                            K -M4  1.92E-04  2.287E-02  7.04E-19
                            K -M5  2.70E-04  2.287E-02  9.88E-19
                            L -M4  6.40E-03  2.313E-02  2.37E-17
                            L -M5  1.24E-02  2.314E-02  4.59E-17
                            K -N2  1.56E-05  2.318E-02  5.80E-20
                            K -N3  2.17E-05  2.318E-02  8.05E-20
                            L1-L3  2.77E-06  2.397E-04  1.06E-22
                            L1-M2  2.04E-05  3.867E-04  1.26E-21
                            L1-M3  5.44E-04  2.871E-03  2.50E-19
                            L1-M4  9.18E-04  2.897E-03  4.26E-19
                            L1-M5  5.46E-06  3.068E-03  2.69E-21
                            L1-N2  8.15E-06  3.073E-03  4.01E-21
                            L1-N3  9.30E-05  3.332E-03  4.97E-20
                            L1-N4  1.58E-04  3.336E-03  8.47E-20
                            L1-N5  3.22E-07  3.381E-03  1.75E-22
                            L1-O2  4.80E-07  3.381E-03  2.60E-22
                            L2-N1  2.91E-09  1.470E-04  6.84E-26
                            L2-N3  9.49E-04  2.536E-03  3.85E-19
                            L2-N4  1.06E-05  2.657E-03  4.49E-21
                            L2-N6  1.17E-02  2.828E-03  5.31E-18
                            L2-O1  9.04E-05  3.063E-03  4.44E-20
                            L2-O3  5.88E-07  3.097E-03  2.92E-22
                            L2-O4  7.98E-04  3.141E-03  4.02E-19
                            L3-N5  3.73E-03  2.389E-03  1.43E-18
                            L3-N6  1.70E-05  2.484E-03  6.77E-21
                            L3-N7  1.61E-05  2.510E-03  6.46E-21
                            L3-O1  2.83E-03  2.681E-03  1.22E-18
                            L3-O2  2.51E-02  2.687E-03  1.08E-17
                            L3-O3  2.20E-04  2.916E-03  1.03E-19
                            L3-O4  7.18E-07  2.946E-03  3.39E-22
                            L3-O5  6.84E-07  2.950E-03  3.23E-22
                            L3-O6  1.90E-04  2.994E-03  9.12E-20
                            L3-O7  1.68E-03  2.995E-03  8.05E-19
                            M3-M5  1.33E-03  3.066E-04  6.55E-20
                            M3-N1  2.42E-05  3.993E-05  1.55E-22
                            M3-N5  8.44E+00  9.958E-06  1.35E-17
                                                  Total 2.32E-15
Pd-109  13.7012 h B+        K -L2  9.86E-02  2.196E-02  3.47E-16
                            K -L3  1.86E-01  2.214E-02  6.59E-16
                            K -M2  1.62E-02  2.489E-02  6.46E-17
                            K -M3  3.15E-02  2.492E-02  1.26E-16
                            K -M4  1.09E-04  2.511E-02  4.40E-19
                            K -M5  1.53E-04  2.511E-02  6.14E-19
                            L -M4  3.29E-03  2.542E-02  1.34E-17
                            L -M5  6.37E-03  2.543E-02  2.59E-17
                            K -N2  1.23E-05  2.548E-02  5.03E-20
                            K -N3  1.70E-05  2.548E-02  6.94E-20
                            L1-L3  1.04E-06  2.553E-04  4.27E-23
                            L1-M2  8.93E-06  4.334E-04  6.20E-22
                            L1-M3  2.88E-04  3.183E-03  1.47E-19
                            L1-M4  4.80E-04  3.215E-03  2.47E-19
                            L1-M5  3.18E-06  3.400E-03  1.74E-21
                            L1-N2  4.75E-06  3.407E-03  2.59E-21
                            L1-N3  5.15E-05  3.715E-03  3.07E-20
                            L1-N4  8.66E-05  3.720E-03  5.16E-20
                            L1-N5  2.54E-07  3.771E-03  1.54E-22
                            L1-O2  3.79E-07  3.772E-03  2.29E-22
                            L2-N1  5.05E-09  1.781E-04  1.44E-25
                            L2-N3  1.13E-03  2.824E-03  5.10E-19
                            L2-N4  1.33E-05  2.960E-03  6.33E-21
                            L2-N6  1.52E-02  3.145E-03  7.68E-18
                            L2-O1  1.19E-04  3.426E-03  6.52E-20
                            L2-O3  8.79E-07  3.465E-03  4.88E-22
                            L2-O4  1.42E-03  3.516E-03  8.02E-19
                            L2-P1  2.81E-06  3.521E-03  1.59E-21
                            L3-N5  3.23E-03  2.646E-03  1.37E-18
                            L3-N6  1.54E-05  2.750E-03  6.81E-21
                            L3-N7  1.45E-05  2.781E-03  6.48E-21
                            L3-O1  2.63E-03  2.967E-03  1.25E-18
                            L3-O2  2.33E-02  2.973E-03  1.11E-17
                            L3-O3  2.10E-04  3.248E-03  1.09E-19
                            L3-O4  7.65E-07  3.282E-03  4.02E-22
                            L3-O5  7.28E-07  3.287E-03  3.84E-22
                            L3-O6  2.42E-04  3.338E-03  1.29E-19
                            L3-O7  2.13E-03  3.338E-03  1.14E-18
                            L3-P3  5.97E-06  3.343E-03  3.20E-21
                            M3-M5  1.64E-03  3.672E-04  9.67E-20
                            M3-N1  3.13E-05  4.743E-05  2.38E-22
                            M3-N5  6.75E+00  1.208E-05  1.31E-17
                                                  Total 1.27E-15
Ag-109m 39.6 s IT           K -L2  9.81E-02  2.196E-02  3.45E-16
                            K -L3  1.85E-01  2.214E-02  6.56E-16
                            K -M2  1.61E-02  2.489E-02  6.43E-17
                            K -M3  3.13E-02  2.492E-02  1.25E-16
                            K -M4  1.09E-04  2.511E-02  4.38E-19
                            K -M5  1.52E-04  2.511E-02  6.12E-19
                            L -M4  3.28E-03  2.542E-02  1.33E-17
                            L -M5  6.34E-03  2.543E-02  2.58E-17
                            K -N2  1.23E-05  2.548E-02  5.01E-20
                            K -N3  1.69E-05  2.548E-02  6.91E-20
                            L1-L3  1.04E-06  2.553E-04  4.25E-23
                            L1-M2  8.89E-06  4.334E-04  6.17E-22
                            L1-M3  2.87E-04  3.183E-03  1.46E-19
                            L1-M4  4.77E-04  3.215E-03  2.46E-19
                            L1-M5  3.17E-06  3.400E-03  1.73E-21
                            L1-N2  4.73E-06  3.407E-03  2.58E-21
                            L1-N3  5.13E-05  3.715E-03  3.05E-20
                            L1-N4  8.62E-05  3.720E-03  5.14E-20
                            L1-N5  2.53E-07  3.771E-03  1.53E-22
                            L1-O2  3.77E-07  3.772E-03  2.28E-22
                            L2-N1  5.03E-09  1.781E-04  1.43E-25
                            L2-N3  1.12E-03  2.824E-03  5.07E-19
                            L2-N4  1.33E-05  2.960E-03  6.30E-21
                            L2-N6  1.52E-02  3.145E-03  7.65E-18
                            L2-O1  1.18E-04  3.426E-03  6.49E-20
                            L2-O3  8.76E-07  3.465E-03  4.86E-22
                            L2-O4  1.42E-03  3.516E-03  7.99E-19
                            L2-P1  2.80E-06  3.521E-03  1.58E-21
                            L3-N5  3.22E-03  2.646E-03  1.37E-18
                            L3-N6  1.54E-05  2.750E-03  6.78E-21
                            L3-N7  1.45E-05  2.781E-03  6.45E-21
                            L3-O1  2.62E-03  2.967E-03  1.24E-18
                            L3-O2  2.32E-02  2.973E-03  1.11E-17
                            L3-O3  2.09E-04  3.248E-03  1.09E-19
                            L3-O4  7.62E-07  3.282E-03  4.01E-22
                            L3-O5  7.25E-07  3.287E-03  3.82E-22
                            L3-O6  2.41E-04  3.338E-03  1.29E-19
                            L3-O7  2.12E-03  3.338E-03  1.13E-18
                            L3-P3  5.95E-06  3.343E-03  3.19E-21
                            M3-M5  1.64E-03  3.672E-04  9.63E-20
                            M3-N1  3.12E-05  4.743E-05  2.37E-22
                            M3-N5  6.72E+00  1.208E-05  1.30E-17
                                                  Total 1.27E-15
Ag-111  7.45 d B+           K -L2  5.53E-04  2.296E-02  2.03E-18
                            K -L3  1.04E-03  2.315E-02  3.86E-18
                            K -M2  9.17E-05  2.604E-02  3.83E-19
                            K -M3  1.78E-04  2.608E-02  7.44E-19
                            K -M4  6.58E-07  2.627E-02  2.77E-21
                            K -M5  9.15E-07  2.628E-02  3.85E-21
                            L -M4  1.87E-05  2.661E-02  7.96E-20
                            L -M5  3.62E-05  2.662E-02  1.55E-19
                            K -N2  8.21E-08  2.667E-02  3.51E-22
                            K -N3  1.13E-07  2.667E-02  4.83E-22
                            L1-L3  7.63E-09  2.632E-04  3.22E-25
                            L1-M2  6.70E-08  4.587E-04  4.92E-24
                            L1-M3  2.63E-06  3.346E-03  1.41E-21
                            L1-M4  4.34E-06  3.381E-03  2.35E-21
                            L1-M5  3.04E-08  3.574E-03  1.74E-23
                            L1-N2  4.53E-08  3.581E-03  2.60E-23
                            L1-N3  4.84E-07  3.916E-03  3.04E-22
                            L1-N4  8.09E-07  3.922E-03  5.08E-22
                            L1-N5  2.65E-09  3.976E-03  1.69E-24
                            L1-O2  3.97E-09  3.977E-03  2.53E-24
                            L2-N1  1.51E-11  1.955E-04  4.73E-28
                            L2-N3  2.80E-06  2.976E-03  1.33E-21
                            L2-N4  3.41E-08  3.118E-03  1.71E-23
                            L2-N6  3.98E-05  3.311E-03  2.11E-20
                            L2-O1  3.09E-07  3.618E-03  1.79E-22
                            L2-O3  2.48E-09  3.659E-03  1.45E-24
                            L2-O4  4.09E-06  3.713E-03  2.43E-21
                            L2-P1  1.81E-08  3.723E-03  1.08E-23
                            L3-N5  1.02E-05  2.780E-03  4.55E-21
                            L3-N6  4.99E-08  2.888E-03  2.31E-23
                            L3-N7  4.69E-08  2.923E-03  2.19E-23
                            L3-O1  8.58E-06  3.115E-03  4.28E-21
                            L3-O2  7.61E-05  3.123E-03  3.81E-20
                            L3-O3  6.94E-07  3.422E-03  3.81E-22
                            L3-O4  2.70E-09  3.457E-03  1.49E-24
                            L3-O5  2.57E-09  3.463E-03  1.43E-24
                            L3-O6  8.68E-07  3.518E-03  4.89E-22
                            L3-O7  7.67E-06  3.518E-03  4.32E-21
                            L3-P3  4.85E-08  3.527E-03  2.74E-23
                            M3-M5  5.67E-06  3.986E-04  3.62E-22
                            M3-N1  1.15E-07  5.172E-05  9.54E-25
                            M3-N5  1.96E-02  1.715E-05  5.40E-20
                                                  Total 7.40E-18
Cd-109  461.4 d EC          K -L2  2.92E-01  2.196E-02  1.03E-15
                            K -L3  5.50E-01  2.214E-02  1.95E-15
                            K -M2  4.80E-02  2.489E-02  1.91E-16
                            K -M3  9.32E-02  2.492E-02  3.72E-16
                            K -M4  3.24E-04  2.511E-02  1.30E-18
                            K -M5  4.53E-04  2.511E-02  1.82E-18
                            L -M4  9.75E-03  2.542E-02  3.97E-17
                            L -M5  1.89E-02  2.543E-02  7.68E-17
                            K -N2  3.65E-05  2.548E-02  1.49E-19
